,image,local_image,title,description,main_category,pred_description
0,https://m.media-amazon.com/images/I/71FvDefh9yL._AC_UL1500_.jpg,./images/0014114.jpg,"Nayu Feng Shui Pixiu Mantra Ring For Wealth And Protection Good Luck Money Amulet,Buddhist Heart Sutra RingBuddha Ring Adjustable",Specification:   Material: Copper   Color: Vintage silver   Weight: 9.5g   Ring Width: 10.6mm   Diameter: 19.8mm   Include：   1*Ring,AMAZON FASHION,"These elegant rings feature intricate dragon designs with a striking two-tone finish, combining gold and silver for a bold, luxurious look. Perfect for those who appreciate symbolic craftsmanship, they make a meaningful statement for everyday wear or special occasions. The detailed engravings add cultural depth and sophistication to any ensemble."
1,https://m.media-amazon.com/images/I/81PwiwtEdAL._AC_UL1500_.jpg,./images/0085838.jpg,"ZRDZSW 78 Pack Letters & Numbers Shoe Charms for Men Boys Girls, ABC-Z, 0-9# Letters and Numbers Shoe Charms for Teens Women Adults, Toddler Pins for Kids Sandals Decoration","These 78 Letters and Numbers Shoes Charms are the perfect accessory for your shoes. With a complete set of letters and numbers, you can customize your Shoes to spell out your name, nickname, or any message you want to convey. These charms are made of high-quality PVC material, which is durable and long-lasting. They are easy to attach to your Shoes, and you can change them as often as you like. These charms are not only fun, but they also have practical benefits. By customizing your Shoes with your name or phone number, you can easily identify your shoes in a crowded place. Moreover, it can be a great way to express your personality and make your Shoes stand out from the crowd. So, whether you're looking to upgrade your Shoes game or want to add a personal touch to your footwear, these 78 Letters and Numbers Shoes Charms are an excellent choice. Order now and get ready to make a statement with your Shoes!",AMAZON FASHION,"These vibrant, playful stickers are perfect for adding a fun, whimsical touch to any surface—whether it’s a phone, laptop, water bottle, or even a pair of shoes. Made from durable, adhesive-backed material, they’re easy to apply and remove without damaging surfaces. Ideal for fashion lovers, kids, or anyone who enjoys expressing their personality with colorful, trendy designs."
2,https://m.media-amazon.com/images/I/51OEM75rm7L._AC_UL1010_.jpg,./images/0072822.jpg,925 Sterling Silver Simulated Turquoise Teardrop Earrings Ball Button Fine Jewelry For Women Gifts For Her,"ICECARATS DESIGNER JEWELRY 925 STERLING SILVER SIMULATED TURQUOISE TEARDROP EARRINGSMaterial Purity : 925Finish : PolishedStone Color 1 : BlueStone Quantity 1 : 2Length : 14.13 mmPlating : RhodiumFeature : SolidMaterial : Sterling SilverCompleteness : Complete (all stones included)Stone Shape 1 : TeardropStone Size 1 : 8.5 x 12 mmWidth : 10.13 mmProduct Type : JewelryJewelry Type : EarringsSold By Unit : PairGender : Women'sMaterial Color : WhiteEarring Closure : Post & Push BackEarring Type : ButtonStone Creation Method 1 : SyntheticStone Type (Other) 1 : Synthetic TurquoiseEarring Back Type : FrictionOUR MISSION & BELIEFSOur mission at IceCarats is to celebrate our customers and enhance their lives journey, honoring life's memorable occasions and enhancing the beauty of everyday through our extensive collection of quality jewelry.THE ICECARATS STORY - CRAFTSMANSHIP...QUALITY...VALUEJewelry is our passion - IceCarats is devoted to craftsmanship, quality, and value. Each piece hand stamped for authenticityMADE WITH LOVE FROM US TO YOU - QUALITY WITHOUT COMPROMISEWhen you purchase jewelry from the IceCarats collection, you buy with confidence - Lifetime Warranty and 30-Day Returns .ELEGANT GIFT PACKAGING - JUST ANOTHER REASON TO SAY YES!Receive Elegant Gift Packing On Every Order with IceCarats!",AMAZON FASHION,"These elegant teardrop earrings feature a vibrant turquoise stone set in a sleek, polished silver-toned metal frame, perfect for adding a touch of color and sophistication to any outfit. Ideal for everyday wear or special occasions, they offer a classic yet modern look that complements both casual and formal ensembles."
3,https://m.media-amazon.com/images/I/51HW3iFte+L._AC_UL1000_.jpg,./images/0032281.jpg,Au-TOMOTIVE GOLD Rectangular Wave Key Ring for Jeep Rubicon,"Quickly identified as our wave key fob by the unique wave appearance of the colored face, this key chain is one of our most popular. Shiny chrome keychain with an anodized aluminum insert featuring small grooves on the colored face has an appealing swirl effect. Precision laser etched logo. Includes a black gift box",AMAZON FASHION,"This sleek, metallic keychain features a bold red wave design with crisp white lettering, making it a stylish accessory for everyday use. Perfect for Jeep enthusiasts or anyone who appreciates modern, durable craftsmanship, it adds a touch of personality to keys, bags, or car interiors. Its polished finish and compact shape ensure it’s both functional and eye-catching."
4,https://m.media-amazon.com/images/I/61UZb8XM5SS._AC_UL1500_.jpg,./images/0089936.jpg,Bella Canvas womens B8800y,"65% polyester, 35% viscose jersey, 32 singles, , Features:, Side-seamed, Relaxed, drapey fit, Merrowed bottom hem, Sheering at racerback seam, Tear-away label, , Sizes: S-L ,",AMAZON FASHION,"This simple, white tank top is perfect for casual wear, offering a comfortable and breathable fit that’s ideal for everyday activities. Its soft, lightweight fabric makes it great for layering or wearing alone, whether you’re running errands or relaxing at home. The relaxed silhouette and classic design ensure it pairs effortlessly with jeans or shorts for a versatile, stylish look."
5,https://m.media-amazon.com/images/I/719z2QX4bJL._AC_UL1500_.jpg,./images/0081272.jpg,"Gufesf Flip Flops for Women, Women Summer Comfortable Flip Flop Wedge Sandal Thong Slippers Comfy Outdoor Walking Flip Flops","Women's Casual Solid Crystal Roman Plus-size Flat Slippers Sandals Shoes Women Christmas Slippers 4 Pairs 7 8Women's Casual Solid Crystal Roman Plus-size Flat Slippers Sandals Shoes Women Christmas Slippers 4 PairsStyle: Princess,Casual,Simple,",AMAZON FASHION,"These stylish, navy blue sandals feature a comfortable wedge sole and decorative floral details on the straps, perfect for casual outings or relaxed days. The breathable, perforated design adds ventilation, while the adjustable fit ensures a snug, supportive feel. Ideal for pairing with jeans or casual dresses, they blend fashion with practical comfort."
6,https://m.media-amazon.com/images/I/81F7g4L9SYL._AC_UL1500_.jpg,./images/0077690.jpg,adidas Men's Amplifier Fold Beanie,Say adidas in three languages. Stay warm and cozy between workouts in this men's soft knit beanie. A woven label and 3-Stripes root your look in sport.,AMAZON FASHION,"This cozy, textured beanie offers warmth and style for chilly days, with a snug fit that keeps your head comfortably covered. The soft, breathable fabric is perfect for casual outings or layering under jackets. A subtle logo patch adds a modern touch without overpowering the sleek, minimalist design."
7,https://m.media-amazon.com/images/I/51OvhPDK9sL._AC_UL1200_.jpg,./images/0102127.jpg,Kigretn Lace Applique Tulle Flower Girl Dress for Kids Short Sleeves Princess Pageant Gowns Party Dresses,"Suitable for girls with 2-14ages,If you want to make a custom dress,please give me your size as follows: 1.Bust_____ inch 2.Waist_____ inch 3.Sleeve length___ inch 4.Hollow to floor___ inch We cannot accept your return request under the conditions as below: (1) Exceed 30 days after you received the product. (2)The product is Dirty, Damaged, Broken, Worn or Washed. (3)Personal reasons such as wrong measurement provided, wrong size or wrong color. OTHER NOTES: 1.The real color of the item may be slightly different from the pictures shown on website caused by many factors such as brightness of your monitor and light brightness. 2.Please allow slight deviation for the measurement data.",AMAZON FASHION,"This elegant, blush-pink gown features a delicate lace bodice and a voluminous, tiered tulle skirt, perfect for special occasions like weddings, galas, or formal parties. The off-the-shoulder design and fitted waist accentuate a graceful silhouette, while the flowing layers add a touch of drama and sophistication. Ideal for young girls seeking a timeless and charming look for milestone events."
8,https://m.media-amazon.com/images/I/71icnktiMsL._AC_UL1441_.jpg,./images/0084240.jpg,"Florsheim Men's, Santucci Plain Toe Oxford","Our Santucci Collection combines enduring styles and the latest in comfort technology. With modern profiles and features like high-tech insoles with rubber soles, these updated classics are designed to feel as good as they look.",AMAZON FASHION,"Elegant and timeless, this black leather oxford shoe features a polished finish and classic lace-up design, perfect for formal occasions or business attire. Its refined silhouette and comfortable fit make it ideal for both day and evening wear, adding a touch of sophistication to any outfit."
9,https://m.media-amazon.com/images/I/51E3SZWyoyL._AC_UL1010_.jpg,./images/0107945.jpg,14k Yellow Gold .011 Gauge Engravable Round Disc Charm Necklace Pendant Lasered Etched Fine Jewelry For Women Gifts For Her,"ICECARATS DESIGNER JEWELRY 14K YELLOW GOLD .011 GAUGE ENGRAVABLE ROUND DISC CHARMMaterial Purity : 14KFinish : Polished & Laser DesignLength : 19 mmCharm/Element Length : 13 mmCharm/Element Thickness : 0.011 gaugeCharm/Element Width : 13 mmFeature : SolidManufacturing Process : StampingMaterial : GoldThickness : 0.011Width : 13 mmEngravable : YesProduct Type : JewelryJewelry Type : Pendants & CharmsSold By Unit : EachPendant/Charm Type : PersonalizedTexture : TexturedBail Width : 1 mmMaterial Color : YellowBail Length : 4 mmFeature 2 : Polished BackOUR MISSION & BELIEFSOur mission at IceCarats is to celebrate our customers and enhance their lives journey, honoring life's memorable occasions and enhancing the beauty of everyday through our extensive collection of quality jewelry.THE ICECARATS STORY - CRAFTSMANSHIP...QUALITY...VALUEJewelry is our passion - IceCarats is devoted to craftsmanship, quality, and value. Each piece hand stamped for authenticityMADE WITH LOVE FROM US TO YOU - QUALITY WITHOUT COMPROMISEWhen you purchase jewelry from the IceCarats collection, you buy with confidence - Lifetime Warranty and 30-Day Returns .ELEGANT GIFT PACKAGING - JUST ANOTHER REASON TO SAY YES!Receive Elegant Gift Packing On Every Order with IceCarats!",AMAZON FASHION,"This elegant gold-toned pendant features a smooth, round face with a delicate scalloped edge, perfect for personalization or as a timeless accessory. Ideal for everyday wear or special occasions, it can be paired with any chain to add a touch of sophistication to your look. Its simple yet refined design makes it a versatile choice for those who appreciate classic, understated elegance."
